model,auc,pr_auc,precision,recall,f1,brier
rf,0.9359039836567927,0.6382969389145341,0.6666666666666666,0.5454545454545454,0.6,0.06294648469408923
logreg,0.9208375893769153,0.4768918919609707,0.40384615384615385,0.9545454545454546,0.5675675675675675,0.12051226439717015
